"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",1,4,NA,7874798,625794,1562624244
"blanca",1,9,1,7874774,625776,1562624666
"blanca",1,3,NA,7874788,625755,1562625120
"blanca",1,8,NA,7874774,625748,1562625503
"blanca",1,3,3,7874782,625729,1562625955
"blanca",2,4,NA,7874871,625736,1562626353
"blanca",1,4,2,7874899,625769,1562626752
"blanca",1,6,NA,7874928,625779,1562627184
"blanca",1,8,NA,7874936,625752,1562627613
"blanca",1,8,2,7874931,625749,1562628025
"blanca",1,4,NA,7874930,625720,1562628444
"blanca",1,3,2,7874944,625720,1562628859
"blanca",1,4,NA,7874967,625758,1562629310
"blanca",1,1,2,7874963,625755,1562629743
"blanca",1,8,2,7874939,625782,1562630114
"blanca",1,2,NA,7874931,625768,1562630547
"blanca",1,2,5,7874970,625778,1562630955
"blanca",1,2,NA,7874961,625786,1562631391
"blanca",1,10,NA,7874970,625784,1562631818
"blanca",1,NA,4,7874956,625844,1562633068
"blanca",4,NA,NA,7874816,625943,1562634363
"blanca",2,4,NA,7874776,625874,1562634783
"blanca",2,NA,2,7874855,626031,1562710225
"blanca",1,9,NA,7874865,626014,1562710650
"blanca",1,2,4,7874871,626075,1562711080
"blanca",1,9,NA,7874876,626068,1562711478
"blanca",1,4,NA,7874905,626063,1562711909
"blanca",1,6,5,7874934,626053,1562712341
"blanca",1,4,NA,7874943,626063,1562712741
"blanca",1,5,1,7874947,626082,1562713168
"blanca",1,7,NA,7874958,626089,1562713587
"blanca",1,10,NA,7874944,626057,1562714018
"blanca",1,NA,4,7875012,626008,1562715266
"blanca",1,4,NA,7875036,626025,1562715702
"blanca",1,7,NA,7875056,626023,1562716102
"blanca",1,NA,4,7875122,626012,1562717370
"blanca",1,10,NA,7875095,626074,1562717821
"blanca",1,NA,NA,7875030,626006,1562720323
"blanca",1,4,NA,7875030,625985,1562720763
"blanca",1,7,NA,7874977,625966,1562721143
"blanca",1,NA,NA,7874979,625896,1562883443
"blanca",1,5,3,7875012,625889,1562883857
"blanca",1,6,NA,7875034,625878,1562884286
"blanca",1,5,NA,7875047,625877,1562884705
"blanca",1,4,3,7875050,625881,1562885123
"blanca",1,9,NA,7875053,625873,1562885540
"blanca",1,3,2,7875066,625881,1562886000
"blanca",1,10,NA,7875062,625872,1562886404
"blanca",4,8,NA,7874874,626016,1562886809
"blanca",4,1,2,7875073,625840,1562887220
"blanca",1,6,NA,7875079,625831,1562887643
"blanca",1,5,2,7875094,625823,1562888074
"blanca",1,9,NA,7875061,625818,1562888485
"blanca",1,5,5,7875039,625801,1562888943
"blanca",2,1,5,7875131,625804,1562889330
"blanca",1,8,NA,7875123,625760,1562889736
"blanca",1,7,3,7875117,625757,1562890162
"blanca",2,4,NA,7875115,625676,1562890603
"blanca",1,2,NA,7875125,625682,1562891035
"blanca",2,8,4,7875154,625616,1562891442
"blanca",1,6,NA,7875152,625594,1562891845
"blanca",1,6,4,7875130,625565,1562892269
"blanca",2,3,NA,7875198,625515,1562892685
"blanca",1,NA,NA,7875343,625553,1562893964
"blanca",2,7,5,7875441,625494,1562894399
"blanca",2,NA,NA,7875755,625844,1562900259
"blanca",1,8,1,7875796,625841,1562900701
"blanca",2,NA,NA,7875717,625826,1562901964
"blanca",2,5,NA,7875640,625775,1562902354
"blanca",1,2,4,7875679,625767,1562902758
"blanca",1,NA,3,7875770,625780,1562969433
"blanca",1,7,NA,7875817,625745,1562969845
